Tanggal,Keterangan,Kategori,Tipe,Nominal
2026-01-02,Pendapatan Jasa Konsultan,Revenue,Masuk,150000000
2026-01-03,Bayar Gaji Karyawan,Operasional,Keluar,45000000
2026-01-05,Pendapatan Proyek Alpha,Revenue,Masuk,200000000
2026-01-07,Bayar Sewa Kantor,Operasional,Keluar,15000000
2026-01-10,Bayar Listrik dan Air,Utilitas,Keluar,3500000
2026-01-12,Pendapatan Jasa IT Support,Revenue,Masuk,75000000
2026-01-15,Biaya Marketing Digital,Marketing,Keluar,25000000
2026-01-17,Bayar Internet dan Cloud,Utilitas,Keluar,8000000
2026-01-20,Pendapatan Proyek Beta,Revenue,Masuk,180000000
2026-01-22,Beli Peralatan Kantor,Aset,Keluar,12000000
2026-01-25,Bayar Asuransi Karyawan,Operasional,Keluar,7000000
2026-01-28,Biaya Perjalanan Dinas,Operasional,Keluar,9500000
2026-02-01,Pendapatan Langganan SaaS,Revenue,Masuk,95000000
2026-02-03,Bayar Gaji Karyawan,Operasional,Keluar,45000000
2026-02-05,Biaya Iklan Facebook,Marketing,Keluar,35000000
2026-02-07,Pendapatan Jasa Audit,Revenue,Masuk,120000000
2026-02-10,Bayar Sewa Kantor,Operasional,Keluar,15000000
2026-02-12,Biaya Training Karyawan,HR,Keluar,6000000
2026-02-15,Pendapatan Proyek Gamma,Revenue,Masuk,250000000
2026-02-18,Bayar Server AWS,Utilitas,Keluar,18000000
2026-02-20,Biaya Entertaintment Client,Marketing,Keluar,4500000
2026-02-22,Pendapatan Konsultasi Pajak,Revenue,Masuk,85000000
